path	block_type	mask_type	reference_block	link_status	runtime_token
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/Constant1	Constant		powerlib_extras/Control  Blocks/Monostable/Edge Detector/Constant1	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/Demux	Demux		powerlib_extras/Control  Blocks/Monostable/Edge Detector/Demux	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/Logical Operator1	Logic		powerlib_extras/Control  Blocks/Monostable/Edge Detector/Logical Operator1	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/Memory	Memory		powerlib_extras/Control  Blocks/Monostable/Edge Detector/Memory	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/Multiport Switch	MultiPortSwitch		powerlib_extras/Control  Blocks/Monostable/Edge Detector/Multiport Switch	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/NEGATIVE Edge	SubSystem		powerlib_extras/Control  Blocks/Monostable/Edge Detector/NEGATIVE Edge	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/NEGATIVE Edge/IN	Inport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/NEGATIVE Edge/IN	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/NEGATIVE Edge/IN previous	Inport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/NEGATIVE Edge/IN previous	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/NEGATIVE Edge/Enable	EnablePort		powerlib_extras/Control  Blocks/Monostable/Edge Detector/NEGATIVE Edge/Enable	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/NEGATIVE Edge/Relational Operator1	RelationalOperator		powerlib_extras/Control  Blocks/Monostable/Edge Detector/NEGATIVE Edge/Relational Operator1	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/NEGATIVE Edge/OUT	Outport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/NEGATIVE Edge/OUT	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/POSITIVE Edge	SubSystem		powerlib_extras/Control  Blocks/Monostable/Edge Detector/POSITIVE Edge	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/POSITIVE Edge/IN	Inport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/POSITIVE Edge/IN	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/POSITIVE Edge/IN previous	Inport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/POSITIVE Edge/IN previous	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/POSITIVE Edge/Enable	EnablePort		powerlib_extras/Control  Blocks/Monostable/Edge Detector/POSITIVE Edge/Enable	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/POSITIVE Edge/Relational Operator1	RelationalOperator		powerlib_extras/Control  Blocks/Monostable/Edge Detector/POSITIVE Edge/Relational Operator1	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/POSITIVE Edge/OUT	Outport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/POSITIVE Edge/OUT	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/either edge	Constant		powerlib_extras/Control  Blocks/Monostable/Edge Detector/either edge	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/neg. edge	Constant		powerlib_extras/Control  Blocks/Monostable/Edge Detector/neg. edge	implicit	
